#########################################################################
###########    Estadisticas por parte   #   Estadisticas base de clase ##
# Nombre,   HP,   MORALE, SKILL,  SPEED,  HP,     MORALE, SKILL,  SPEED #
Aquatic ,   1,    0,      0,      3,      39,     27,     35,     39
Beast   ,   0,    3,      0,      1,      39,     27,     35,     39
Bug     ,   1,    3,      0,      0,      39,     27,     35,     39
Bird    ,   0,    1,      0,      3,      39,     27,     35,     39
Plant   ,   3,    1,      0,      0,      39,     27,     35,     39
Reptile ,   3,    0,      0,      1,      39,     27,     35,     39
#########################################################################






